ID;#stm_sap_meldnr;stm_mon_nr;stm_vl_post;stm_sap_meld_ddt;stm_sap_mon_meld_ddt;stm_sap_meldtekst_lang;stm_mon_begin_ddt;stm_sap_meldtekst;stm_mon_toelichting_trdl;stm_oh_pg_mld;stm_geo_mld;stm_geo_mld_uit_functiepl;stm_equipm_nr_mld;stm_equipm_soort_mld;stm_equipm_omschr_mld;stm_km_van_mld;stm_km_tot_mld;stm_prioriteit;stm_scenario_mon;stm_status_melding_sap;stm_mon_nr_status_omschr;stm_mon_nr__statuscode;stm_mon_nr_status_wijzdd;stm_aanngeb_ddt;stm_aanntpl_ddt;stm_oh_pg_gst;stm_geo_gst;stm_geo_gst_uit_functiepl;stm_equipm_nr_gst;stm_equipm_soort_gst;stm_equipm_omschr_gst;stm_objectdl_code_gst;stm_objectdl_groep_gst;stm_km_van_gst;stm_km_tot_gst;stm_progfh_in_ddt;stm_progfh_in_invoer_ddt;stm_progfh_gw_ddt;stm_progfh_gw_lwd_ddt;stm_progfh_hz;stm_oorz_groep;stm_oorz_code;stm_oorz_tkst;stm_veroorz_groep;stm_veroorz_code;stm_veroorz_tekst_kort;stm_effect;stm_afspr_aanvangddt;stm_fh_status;stm_mon_vhdsincident;stm_tao_indicator;stm_tao_indicator_vorige;stm_tao_soort_mutatie;stm_tao_telling_mutatie;stm_tao_beinvloedbaar_indicator;stm_evb;stm_dir_betrok_tr;stm_aangelegd_dd;stm_aangelegd_tijd;stm_sap_melddatum;stm_sap_meldtijd;stm_mon_begindatum;stm_mon_begintijd;stm_contractgeb_mld;stm_functiepl_mld;stm_techn_mld;stm_contractgeb_gst;stm_functiepl_gst;stm_techn_gst;stm_aanngeb_dd;stm_aanngeb_tijd;stm_aanntpl_dd;stm_aanntpl_tijd;stm_arbeid;stm_progfh_gw_lwd_datum;stm_progfh_gw_lwd_tijd;stm_progfh_gw_duur;stm_progfh_gw_teller;stm_afspr_aanvangdd;stm_afspr_aanvangtijd;stm_controle_dd;stm_akkoord_mon_toewijz;stm_status_sapnaarmon;stm_fact_jn;stm_akkoord_melding_jn;stm_afsluit_ddt;stm_afsluit_dd;stm_afsluit_tijd;stm_rec_toegev_ddt;stm_hinderwaarde;stm_actie;stm_standplaats;stm_status_gebr;stm_wbi_nummer;stm_projnr;stm_oorz_tekst_kort;stm_historie_toelichting;stm_schade_verhaalb_jn;stm_schadenr;stm_schade_status_ga;stm_schade_statusdatum;stm_relatiervo_vorig;stm_relatiervo_volgend;stm_relatiervo;stm_pplg_van;stm_pplg_naar;stm_dstrglp_van;stm_dstrglp_naar;stm_afspr_func_hersteldd;stm_afspr_func_hersteltijd;stm_sorteerveld;stm_rapportage_maand;stm_rapportage_jaar;stm_x_bron_publ_dt;stm_x_bron_bestandsnaam;stm_x_bron_arch_dt;stm_x_actueel_ind;stm_x_run_id;stm_x_bk;stm_x_start_sessie_dt;stm_x_vervallen_ind
160476;70277067;0.0;;25/05/2017 15:16:37;25/05/2017 15:16:37;Vry : km 55.9 Spoor 353 smeulende biels.;;Vry : km 55.9 Spoor 353 smeulende biels.;;27B;52;52.0;10894371.0;SPOORTAK;052 sp 353 km 55.698 - 56.518 TAK;55698.0;56518.0;2.0;;MINB PAGE;;;00/00/0000;25/05/2017 15:23:58;25/05/2017 15:56:00;27B;52.0;52.0;10894371.0;SPOORTAK;052 sp 353 km 55.698 - 56.518 TAK;S082;SDWL0001;55698.0;56518.0;25/05/2017 16:10:01;25/05/2017 16:11:54;;;;WEER;182.0; dwarsligger in brand door zon;;;Smeulende dwl geblust;;;1.0;;N;N;;0;NB;0,00;;25/05/2017;15:23:58;25/05/2017;15:16:37;;;27.0;052-301-1000011770;B;27.0;052-301-1000011770;B;25/05/2017;15:23:58;25/05/2017;15:56:00;0.0;;;0;1.0;00/00/0000;00:00:00;06/06/2017;;;;N;;;00:00:00;25/05/2017 15:23:58;0.0;;3.0;TAOG CAOG CAON AKOG;;;dwarsligger in brand door zon;;;0.0;;;;;;;;;;00/00/0000;00:00:00;052_27L_55.7;11;2017;13/11/2017 06:00:07;E:\Informatica\Inbox\Informatica\SAP\Storingen\20171113060007_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;278241;3740168;13/11/2017 06:06:30;0
160480;70277073;4315506.0;EHV;25/05/2017 15:49:40;25/05/2017 15:41:00;Btl-Vga : GRS SSL sectie 607CT VGA-BTL  Rijrichting BE sp VGA607C13AT;25/05/2017 15:41:00;Btl-Vga : GRS SSL sectie 607CT VGA-BTL;F5 - Spoor/wissels;21S;53;53.0;10136581.0;DETGRSSSL;GRS SSL sectie 607CT VGA-BTL;0.0;0.0;2.0;TIS 1.1;MINB PAGE;;3.0;25/06/2017;25/05/2017 15:56:58;25/05/2017 16:12:00;21S;53.0;53.0;10136581.0;DETGRSSSL;GRS SSL sectie 607CT VGA-BTL;D131;DGRSS010;0.0;0.0;25/05/2017 17:45:00;25/05/2017 17:31:15;;;;WEER;182.0; Zwevend relais;;;;;;2.0;N;J;J;Ongewijzigd;0;NB;0,00;853, 9655, 303653, 3556, 3555, 3558, 855, 856, 965;25/05/2017;15:56:57;25/05/2017;15:49:40;25/05/2017;15:41:00;21.0;053-601-1000012020;S;21.0;053-601-1000012020;S;25/05/2017;15:56:58;25/05/2017;16:12:00;0.0;;;0;1.0;00/00/0000;00:00:00;29/05/2017;J;1.0;;N;;;00:00:00;25/05/2017 15:56:57;0.0;;3.0;TNOK CAOG CAON AKOG;;;Zwevend relais;++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++20170624 - 230045 - noreply@prorail.nlStatus gewijzigd van Concept naar Compleet op 25-05-2017 20.08 doorTrdl_EHV_40(PRO-VKL): Toelichting: Rij richting naar beide zijden, en afen toe overweg 56.5 in storing. Status gewijzigd van Compleet naarVrijgegeven op 25-05-2017 20.21 door DVL_EHV_85(PRO-VKL): Toelichting:Rij richting naar beide zijden, en af en toe overweg 56.5 in storing.Door SAP 28 dagen na laatste wijzigings-datum status MON automatisch gefiatteerd;;0.0;;;;;;VGA;;HT;VGA;00/00/0000;00:00:00;;10;2017;17/10/2017 06:00:16;E:\Informatica\Inbox\Informatica\SAP\Storingen\20171017060016_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;251580;3740170;17/10/2017 06:06:04;0
160482;70277079;4315569.0;KFH;25/05/2017 16:38:20;25/05/2017 17:11:00;Bot-Ps : Botbr geen rijweginstelling mogelijk na openening. Brug was ontzegeld door brwt na tobs.;25/05/2017 17:11:00;Bot-Ps : Botbr geen rijweginstelling mog;F5 - Spoor/wissels;04K;950;950.0;10000181.0;SPOORBRUG;BOTLEK (OOSTELIJKE AANBRUG);14800.0;15042.0;2.0;;MINB PAGE;;3.0;25/06/2017;25/05/2017 16:47:45;25/05/2017 17:55:00;04K;950.0;950.0;10000181.0;SPOORBRUG;BOTLEK (OOSTELIJKE AANBRUG);9998;BRUGBVAP;14800.0;15042.0;25/05/2017 18:30:00;25/05/2017 18:32:17;;;;TECHONV;221.0; 18:15 spoorbezetiing zat er niet meer in 18:15 spoorbezetiing zat er niet meer in, 280A-CT alle gemiddeldewaardes zijn goed. geen storing meer sinds 18:15. ookm was er een m elding dat sein 294 niet meer uit stand stop ging , dat wordt nu getest.  alleen moet er gewacht worden op opening van de brug;;;;;;2.0;N;J;J;Ongewijzigd;0;B;0,00;90982;25/05/2017;16:47:43;25/05/2017;16:38:20;25/05/2017;17:11:00;4.0;950-201-1000125407;K;4.0;950-201-1000125407;K;25/05/2017;16:47:45;25/05/2017;17:55:00;0.0;;;0;1.0;00/00/0000;00:00:00;;J;1.0;;N;;;00:00:00;25/05/2017 16:47:43;0.0;;5.0;TAON;;;18:15 spoorbezetiing zat er niet meer in;++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++20170624 - 230046 - noreply@prorail.nlStatus gewijzigd van Concept naar Compleet op 25-05-2017 19.28 doorH.Ozer(PRO-VKL): Toelichting: tobs in de rijweg van sp 579 naar spoorbr, brug ontzegeld tobs uit, na rijweg instellen voor de tweede keerkomt sein 294 niet uit stand stop. aangemeld voor verzegelen en als storing. Status gewijzigd van Compleet naar Vrijgegeven op 25-05-201722.12 door M.Broekhans(PRO-VKL): Toelichting: tobs in de rijweg van sp579 naar spoor br, brug ontzegeld tobs uit, na rijweg instellen voor detweede keer komt sein 294 niet uit stand stop. aangemeld voor verzegelenen als storing.Door SAP 28 dagen na laatste wijzigings-datum status MON automatisch gefiatteerd;;0.0;;;;;;BOT;;BOT;BOTBR;00/00/0000;00:00:00;;7;2017;17/07/2017 09:25:15;E:\Informatica\Inbox\Informatica\SAP\Storingen\20170717092515_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;162293;3740171;17/07/2017 09:27:43;0
160483;70277081;0.0;;25/05/2017 16:41:44;25/05/2017 16:41:44;Ddr-Wld : Sp-PA km 25.180 HOTBOX 119 loc 2141 Hotbox geeft onjuiste informatie.;;Ddr-Wld : Sp-PA km 25.180 HOTBOX 119 loc;;04S;119;119.0;10778534.0;HOTBOXDET;HOTBOX 119 loc2141 km25.180 PA;25180.0;25180.0;5.0;;MINB PAGE;;;00/00/0000;25/05/2017 16:47:37;25/05/2017 21:20:00;04S;119.0;119.0;10778534.0;HOTBOXDET;HOTBOX 119 loc2141 km25.180 PA;9999;ADDBEV;25180.0;25180.0;25/05/2017 22:00:00;25/05/2017 21:50:18;;;;TECHONV;215.0; RC2 functioneerde niet goed.  RC2 is ver RC2 functioneerde niet goed.  RC2 is vervangen.;;;;;25/05/2017 18:00:00;1.0;;N;;;0;B;0,00;;25/05/2017;16:47:35;25/05/2017;16:41:44;;;4.0;119-304-1000198944;S;4.0;119-304-1000198944;S;25/05/2017;16:47:37;25/05/2017;21:20:00;0.0;;;0;1.0;25/05/2017;18:00:00;;;;;N;;;00:00:00;25/05/2017 16:47:35;0.0;;5.0;TAON;;;RC2 functioneerde niet goed.  RC2 is ver;;;0.0;;;;;;;;;;26/05/2017;18:00:00;;5;2017;26/05/2017 06:00:11;E:\Informatica\Inbox\Informatica\SAP\Storingen\20170530060009_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;117414;3740172;30/05/2017 06:05:35;0
160488;70277086;4315597.0;ZL;25/05/2017 17:15:14;25/05/2017 17:43:00;Ns : Sp-122 smeulende dwl (halverwege perron).;25/05/2017 17:43:00;Ns : Sp-122 smeulende dwl (halverwege pe;F5 - Spoor/wissels;33B;17;17.0;10893379.0;SPOORTAK;017 sp 122/HC km 49.482 - 61.453 TAK;49482.0;61453.0;2.0;;MINB PAGE;;3.0;30/06/2017;25/05/2017 17:20:00;25/05/2017 18:00:01;33B;17.0;17.0;10893379.0;SPOORTAK;017 sp 122/HC km 49.482 - 61.453 TAK;S081;SDWL0001;49482.0;61453.0;25/05/2017 17:50:00;25/05/2017 17:56:56;;;;ONR-DERD;148.0;;ONREGDER;T;;;;1.0;J;J;J;Ongewijzigd;0;NB;0,00;560;25/05/2017;17:20:00;25/05/2017;17:15:14;25/05/2017;17:43:00;33.0;017-301-1000079855;B;33.0;017-301-1000079855;B;25/05/2017;17:20:00;25/05/2017;18:00:01;0.0;;;0;1.0;00/00/0000;00:00:00;;J;1.0;;N;;;00:00:00;25/05/2017 17:20:00;0.0;;2.0;TAOG CAOG CAON AKOG;;;;++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++20170629 - 230040 - noreply@prorail.nlStatus gewijzigd van Concept naar Compleet op 25-05-2017 18.41 doorWerkplek 3-128 Rol2(PRO-VKL): Toelichting: smeulende biels Statusgewijzigd van Compleet naar Vrijgegeven op 25-05-2017 18.47 door HansGrob rol 3(PRO-VKL): Toelichting: smeulende biels Status gewijzigd van Vrijgegeven naar Afgewezen op 30-05-2017 01.00 door SysteemgebruikerSAP(IM): Toelichting: (AM - CvK) Geen vhds-incident? Status gewijzigdvan Afgewezen naar Vrijgegeven op 30-05-2017 07.19 doorWildenberg_7(PRO-VKL): Toelichting: Vhi gewijzigd in: neeDoor SAP 28 dagen na laatste wijzigings-datum status MON automatisch gefiatteerd;;0.0;;;;;;HDE;;HDE;NS;00/00/0000;00:00:00;017_11AL_49.5;10;2017;17/10/2017 06:00:16;E:\Informatica\Inbox\Informatica\SAP\Storingen\20171017060016_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;251580;3740174;17/10/2017 06:06:04;0
160493;70277088;0.0;;25/05/2017 17:18:21;25/05/2017 17:18:21;MT : Veiligstellen logfiles (17:00 - 17:25) n.a.v. technische STS passage te Gp . Werkplek 088.;;MT : Veiligstellen logfiles (17:00 - 17:;;63P;520;520.0;11241210.0;ICTINFRA;Post21 werkplekken Maastricht;0.0;0.0;4.0;;MINB MAFD;;;00/00/0000;25/05/2017 17:28:29;25/05/2017 17:29:30;63P;520.0;520.0;11241210.0;ICTINFRA;Post21 werkplekken Maastricht;;;0.0;0.0;;;;;;TECHONV;221.0; logging veilig gesteld logging veilig gesteld;;;;;;1.0;;N;N;;0;B;0,00;;25/05/2017;17:28:19;25/05/2017;17:18:21;;;63.0;520-501-1000093365;P;63.0;520-501-1000093365;P;25/05/2017;17:28:29;25/05/2017;17:29:30;0.0;;;0;0.0;00/00/0000;00:00:00;;;;;N;;;00:00:00;25/05/2017 17:28:19;0.0;;3.0;TAON;;;logging veilig gesteld;;;0.0;;;;;;;;;;00/00/0000;00:00:00;;11;2017;06/11/2017 06:00:09;E:\Informatica\Inbox\Informatica\SAP\Storingen\20171127060007_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;292192;3740175;27/11/2017 06:04:32;0
160497;70277106;0.0;;25/05/2017 19:19:55;25/05/2017 19:19:55;Erp-Bot : Clb sluit niet na verzamelstoring (1x). Gaarne onderzoek oorzaak.;;Erp-Bot : Clb sluit niet na verzamelstor;;04K;950;950.0;10000185.0;SPOORBRUG;CALAND;24480.0;24565.0;5.0;;MAFS PAGE;;;00/00/0000;25/05/2017 19:27:22;25/05/2017 20:43:00;04K;950.0;950.0;10000185.0;SPOORBRUG;CALAND;9998;BRUGBVAP;24480.0;24565.0;25/05/2017 20:56:00;25/05/2017 20:56:47;;;;TECHONV;221.0; ook EV monteur Orcin Tastan aangestuurd( ook EV monteur Orcin Tastan aangestuurd( kw niet beschikbaar ) vermoedlijk sat line pc te warm.airco in de ruimte aangezet.ruimte la ten door luchten door deuren en ramen open te zetten, hierna diverse proefdraaien gedaan en alles goed verlopen;;;;;25/05/2017 20:00:00;1.0;;N;N;;0;B;0,00;;25/05/2017;19:27:16;25/05/2017;19:19:55;;;4.0;950-201-1000129614;K;4.0;950-201-1000129614;K;25/05/2017;19:27:22;25/05/2017;20:43:00;0.0;;;0;1.0;25/05/2017;20:00:00;06/06/2017;;;;N;06/06/2017 08:21:05;06/06/2017;08:21:05;25/05/2017 19:27:16;0.0;;5.0;TAOG;;;ook EV monteur Orcin Tastan aangestuurd(;;;0.0;;;;;;;;;;25/05/2017;22:00:00;;6;2017;07/06/2017 06:00:09;E:\Informatica\Inbox\Informatica\SAP\Storingen\20170607060009_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;124638;3740177;07/06/2017 06:03:34;0
160499;70277116;4315761.0;ZL;25/05/2017 20:24:49;25/05/2017 20:20:00;Zl : Wl-127/129A t.o.b.s.;25/05/2017 20:20:00;Zl : Wl-127/129A t.o.b.s.;F5 - Spoor/wissels;34S;603;603.0;11569487.0;DETGRSSSL;GRS SSL sectie 127T ZL;3129.0;3159.0;2.0;;MINB PAGE;;3.0;25/06/2017;25/05/2017 20:33:55;25/05/2017 21:05:00;34B;603.0;603.0;10586926.0;WISSEL;603 Wl 129A EW 1:9;;;3129.0;3159.0;25/05/2017 21:35:00;25/05/2017 21:38:31;;;;TECHONV;241.0; Gestoord object: SECTIE 127T. Gestoord o Gestoord object: SECTIE 127T. Gestoord onderdeel: ES las. Slijpsel over ES-las sectie 127T. Sectie geschouwd en slijpsel van ES-las verwijderd.  25-01-2016 | NSE Engels 603 603 Wl 129A EW 1:9 Trdl Zl 0840842579;;;;;;1.0;N;J;J;Ongewijzigd;0;B;0,00;8069, 7971, 8571, 774, 1871, 571, 5674, 669, 7969,;25/05/2017;20:33:18;25/05/2017;20:24:49;25/05/2017;20:20:00;34.0;603-601-1000010778;S;34.0;603-302-1000016570;B;25/05/2017;20:33:55;25/05/2017;21:05:00;0.0;;;0;1.0;00/00/0000;00:00:00;;J;1.0;;N;;;00:00:00;25/05/2017 20:33:18;0.0;;2.0;TAOG;;;Gestoord object: SECTIE 127T. Gestoord o;++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++20170624 - 230047 - noreply@prorail.nlStatus gewijzigd van Concept naar Compleet op 25-05-2017 21.39 doorWerkplek 10-122 Rol2(PRO-VKL): Toelichting: TOBS +restrijweg van sp 203naar sp 9 Status gewijzigd van Compleet naar Vrijgegeven op 25-05-201721.51 door Dvl_Zl_016(PRO-VKL): Toelichting: TOBS +restrijweg van sp 203 naar sp 9Door SAP 28 dagen na laatste wijzigings-datum status MON automatisch gefiatteerd;;0.0;;;;;;ZL;;ZLGE;ZL;00/00/0000;00:00:00;129A;7;2017;17/07/2017 09:25:15;E:\Informatica\Inbox\Informatica\SAP\Storingen\20170717092515_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;162293;3740178;17/07/2017 09:27:43;0
160502;70277124;4316209.0;EHV;25/05/2017 21:42:32;26/05/2017 04:04:00;Vga-Tbi : Ovw-15.3 gestoord Spontaan 1x gestoord. Recidive.;26/05/2017 04:04:00;Vga-Tbi : Ovw-15.3 gestoord Spontaan 1x;F2 - Storing overwegen;21S;124;124.0;10145536.0;OVERWEG;Mini Ahob 15.3 TBI-VGA Kruishoevenweg;15338.0;15338.0;5.0;;MINB PAGE;;3.0;26/06/2017;25/05/2017 21:46:40;25/05/2017 22:40:00;21S;124.0;124.0;10145536.0;OVERWEG;Mini Ahob 15.3 TBI-VGA Kruishoevenweg;O161;OSTL0008;15338.0;15338.0;26/05/2017 01:00:01;25/05/2017 22:40:49;;;;TECHONV;215.0;;;;;;25/05/2017 23:00:00;2.0;J;J;J;Ongewijzigd;0;B;0,00;6617, 6616, 6621, 3622, 6621, 303619, 6622, 6622,,;25/05/2017;21:46:40;25/05/2017;21:42:32;26/05/2017;04:04:00;21.0;124-204-1000040414;S;21.0;124-204-1000040414;S;25/05/2017;21:46:40;25/05/2017;22:40:00;0.0;;;0;1.0;25/05/2017;23:00:00;29/05/2017;J;1.0;;N;;;00:00:00;25/05/2017 21:46:40;0.0;;3.0;TAOG CAOG CAON AKOG;;;;++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++20170625 - 230042 - noreply@prorail.nlStatus gewijzigd van Concept naar Compleet op 26-05-2017 07.41 doorTrdl_EHV_60(PRO-VKL): Toelichting: storingsmelder van ovw 15.3 gestoord.ovw zelf functioneerd goed. behandelen als zijnde storingsmeldergestoord. Status gewijzigd van Compleet naar Vrijgegeven op 26-05-201713.01 door Dvl_EHV_63(PRO-VKL): Toelichting: storingsmelder van ovw 15.3gestoord. ovw zelf functioneerd goed. behandelen als zijnde storingsmelder gestoord.Door SAP 28 dagen na laatste wijzigings-datum status MON automatisch gefiatteerd;;0.0;;;;;;VGA;;VGA;TBI;26/05/2017;05:00:00;15.3;10;2017;17/10/2017 06:00:16;E:\Informatica\Inbox\Informatica\SAP\Storingen\20171017060016_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;251580;3740179;17/10/2017 06:06:04;0
160506;70277126;4315882.0;ASD;25/05/2017 21:49:34;25/05/2017 21:05:00;Asb : wl-3253 n.i.c. RL;25/05/2017 21:05:00;Asb : wl-3253 n.i.c. RL;F5 - Spoor/wissels;10B;80;80.0;10657036.0;WISSEL;080 Wl 3253 GW 1:39,1;6248.0;6386.0;5.0;;MINB PAGE;;7.0;30/05/2017;25/05/2017 21:57:47;26/05/2017 01:30:00;10S;80.0;80.0;10657036.0;WISSEL;080 Wl 3253 GW 1:39,1;8109;WIS-BED;6248.0;6386.0;26/05/2017 04:37:00;26/05/2017 04:37:56;;;;TECHONV;213.0; Gestoord object: WISSEL 3253. Gestoord o Gestoord object: WISSEL 3253. Gestoord onderdeel: Controlestang. Controle stang steller 3 tongbeweging uitgesteld. Afstellingen van ask naar steller puntstuk 1-2-3 gecontroleerd. Afstellingen gecontroleerd. Geen bijzonderheden. Hierna tongbeweging gecontroleerd. S teller 3 niet in de controle. Tijdens afstellen geconstateerd dat controlestang uitgesteld is. Controlestang van steller 6 omgewisse ld met de controlestang steller 3. Controle steller 3 en 6 opnieuw afgesteld.Wissel getest ism treindienstleider en in orde bevonden . In overleg met uitvoerder wissel volledig indienst gegeven. Nawerk. .  25-01-2016 | EBI Links 080 080 Wl 3253 GW 1:39,1 Trdl Asd-U t 0840833314;;;;;26/05/2017 01:45:00;1.0;N;J;J;Ongewijzigd;0;B;0,00;4076, 4078, 4080;25/05/2017;21:57:26;25/05/2017;21:49:34;25/05/2017;21:05:00;10.0;080-302-1000104083;B;10.0;080-302-1000104083;S;25/05/2017;21:57:47;26/05/2017;01:30:00;0.0;;;0;1.0;26/05/2017;01:45:00;29/05/2017;J;1.0;;N;;;00:00:00;25/05/2017 21:57:26;0.0;;4.0;TAOG;;;Gestoord object: WISSEL 3253. Gestoord o;++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++20170527 - 050020 - noreply@prorail.nlStatus gewijzigd van Concept naar Compleet op 26-05-2017 05.42 doorDVL_ASD_20(PRO-VKL): Toelichting: RL geen controle Status gewijzigd vanCompleet naar Vrijgegeven op 26-05-2017 05.42 door DVL_ASD_20(PRO-VKL):Toelichting: RL geen controle;;0.0;;;;;;ASB;;ASB;DVAZ;26/05/2017;05:00:00;3253;10;2017;17/10/2017 06:00:16;E:\Informatica\Inbox\Informatica\SAP\Storingen\20171017060016_flf_sapeam_storing.txt;31/12/9999 00:00:00;1;251580;3740180;17/10/2017 06:06:04;0
